172Yb,9.43,,,,0.0,,,,11.2,,0.0,,11.2,,0.8,
173Yb,9.56,,,,-5.3,,,,11.5,,3.5,,15.0,,17.1,1.3
174Yb,19.3,,,,0.0,,,,46.8,,0.0,,46.8,,69.4,5.0
176Yb,8.72,,,,0.0,,,,9.6,,0.0,,9.6,,2.85,
Lu,7.21,,,,,,,,6.53,,0.7,,7.2,,74.0,2.0
175Lu,7.24,,,,2.2,,,,6.59,,0.6,,7.2,,21.0,3.0
176Lu,6.1,,-0.57,,3.0,,0.61,,4.7,,1.2,,5.9,,2065.0,35.0
Hf,7.7,,,,,,,,7.6,,2.6,,10.2,,104.1,
174Hf,10.9,1.1,,,0.0,,,,15.0,3.0,0.0,,15.0,3.0,561.0,35.0
176Hf,6.61,,,,0.0,,,,5.5,,0.0,,5.5,,23.5,3.1
177Hf,0.8,1.0,,,0.9,1.3,,,0.1,,0.1,,0.2,,373.0,10.0
178Hf,5.9,,,,0.0,,,,4.4,,0.0,,4.4,,84.0,4.0
179Hf,7.46,,,,1.06,,,,7.0,,0.14,,7.1,,41.0,3.0
180Hf,13.2,,,,0.0,,,,21.9,,0.0,,21.9,1.0,13.04,
Ta,6.91,,,,,,,,6.0,,0.01,,6.01,,20.6,
180Ta,7.0,2.0,,,,,,,6.2,,0.5,,7.0,4.0,563.0,60.0
181Ta,6.91,,,,-0.29,,,,6.0,,0.011,,6.01,,20.5,
W,4.86,,,,,,,,2.97,,1.63,,4.6,,18.3,
180W,5.0,3.0,,,0.0,,,,3.0,4.0,0.0,,3.0,4.0,30.0,20.0
182W,6.97,,,,0.0,,,,6.1,,0.0,,6.1,,20.7,
183W,6.53,,,,,,,,5.36,,0.3,,5.7,,10.1,
184W,7.48,,,,0.0,,,,7.03,,0.0,,7.03,,1.7,
186W,-0.72,,,,0.0,,,,0.065,,0.0,,0.065,,37.9,
Re,9.2,,,,,,,,10.6,,0.9,,11.5,,89.7,1.0
185Re,9.0,,,,2.0,,,,10.2,,0.5,,10.7,,112.0,2.0
187Re,9.3,,,,2.8,,,,10.9,,1.0,,11.9,,76.4,1.0
Os,10.7,,,,,,,,14.4,,0.3,,14.7,,16.0,
184Os,10.0,2.0,,,0.0,,,,13.0,5.0,0.0,,13.0,5.0,3000.0,150.0
186Os,11.6,1.7,,,0.0,,,,17.0,5.0,0.0,,17.0,5.0,80.0,13.0
187Os,10.0,2.0,,,,,,,13.0,5.0,0.3,,13.0,5.0,320.0,10.0
188Os,7.6,,,,0.0,,,,7.3,,0.0,,7.3,,4.7,
189Os,10.7,,,,,,,,14.4,,0.5,,14.9,,25.0,4.0
190Os,11.0,,,,0.0,,,,15.2,,0.0,,15.2,,13.1,
192Os,11.5,,,,0.0,,,,16.6,,0.0,,16.6,1.2,2.0,
Ir,10.6,,,,,,,,14.1,,0.0,3.0,14.0,3.0,425.0,2.0
191Ir,,,,,,,,,,,,,,,954.0,10.0
193Ir,,,,,,,,,,,,,,,111.0,5.0
Pt,9.6,,,,,,,,11.58,,0.13,,11.71,,10.3,
190Pt,9.0,,,,0.0,,,,10.0,2.0,0.0,,10.0,2.0,152.0,4.0
192Pt,9.9,,,,0.0,,,,12.3,1.2,0.0,,12.3,1.2,10.0,2.5
194Pt,10.55,,,,0.0,,,,14.0,,0.0,,14.0,,1.44,
195Pt,8.83,,,,-1.0,,,,9.8,,0.13,,9.9,,27.5,1.2
196Pt,9.89,,,,0.0,,,,12.3,,0.0,,12.3,,0.72,
198Pt,7.8,,,,0.0,,,,7.6,,0.0,,7.6,,3.66,
Au,7.63,,,,-1.84,,,,7.32,,0.43,,7.75,,98.65,
Hg,12.692,,,,,,,,20.24,,6.6,,26.8,,372.3,4.0
196Hg,30.3,1.0,,,0.0,,,,115.0,8.0,0.0,,115.0,8.0,3080.0,180.0
198Hg,,,,,0.0,,,,,,0.0,,,,2.0,
199Hg,16.9,,,,15.5,,,,36.0,2.0,30.0,3.0,66.0,2.0,2150.0,48.0
200Hg,,,,,0.0,,,,,,0.0,,,,,
201Hg,,,,,,,,,,,,,,,7.8,2.0
202Hg,,,,,0.0,,,,,,0.0,,9.828,,4.89,
204Hg,,,,,0.0,,,,,,0.0,,,,0.43,
Tl,8.776,,,,,,,,9.678,,0.21,,9.89,,3.43,
203Tl,6.99,,,,1.06,,,,6.14,,0.14,,6.28,,11.4,
205Tl,9.52,,,,-0.242,,,,11.39,,0.007,,11.4,,0.104,
Pb,9.405,,,,,,,,11.115,,0.003,,11.118,,0.171,
204Pb,9.9,,,,0.0,,,,12.3,,0.0,,12.3,,0.65,
206Pb,9.22,,,,0.0,,,,10.68,,0.0,,10.68,,0.03,
207Pb,9.28,,,,0.14,,,,10.82,,0.002,,10.82,,0.699,
208Pb,9.5,,,,0.0,,,,11.34,,0.0,,11.34,,0.00048,
Bi,8.532,,,,,,,,9.148,,0.0084,,9.156,,0.0338,
Po,,,,,0.259,,,,0.0,,,,,,,
At,,,,,,,,,0.0,,,,,,,
Rn,,,,,,,,,0.0,,,,12.6,,,
Fr,,,,,,,,,0.0,,,,,,,
Ra,10.0,1.0,,,0.0,,,,13.0,3.0,0.0,,13.0,3.0,12.8,1.5
Ac,,,,,,,,,0.0,,,,,,,
Th,10.31,,,,0.0,,,,13.36,,0.0,,13.36,,7.37,
Pa,9.1,,,,,,,,10.4,,0.1,3.3,10.5,3.2,200.6,2.3
U,8.417,,,,,,,,8.903,,0.005,,8.908,,7.57,
